Month,CPI
Dec.1996,543.7
Jan.1997,543.3
Feb.1997,544
Mar.1997,546
Apr.1997,548.8
May.1997,549.9
Jun.1997,550.9
Jul.1997,550.8
Aug.1997,551.8
Sep.1997,553
Oct.1997,554.4
Nov.1997,553.8
Dec.1997,553.9
Jan.1998,554.5
Feb.1998,554.5
Mar.1998,555.6
Apr.1998,558.2
May.1998,557.9
Jun.1998,559
Jul.1998,557.6
Aug.1998,558.4
Sep.1998,560.1
Oct.1998,560.2
Nov.1998,558.8
Dec.1998,558.5
Jan.1999,557.3
Feb.1999,558.6
Mar.1999,560
Apr.1999,564.1
May.1999,565.5
Jun.1999,565.2
Jul.1999,564.2
Aug.1999,564.6
Sep.1999,566.5
Oct.1999,567.7
Nov.1999,567.6
Dec.1999,569.8
Jan.2000,569.8
Feb.2000,573.7
Mar.2000,577.4
Apr.2000,579.3
May.2000,582
Jun.2000,584.7
Jul.2000,585
Aug.2000,585.9
Sep.2000,590.3
Oct.2000,590.9
Nov.2000,590.6
Dec.2000,589.6
Jan.2001,588.4
Feb.2001,591.7
Mar.2001,594.2
Apr.2001,596.9
May.2001,601.8
Jun.2001,602.3
Jul.2001,599.5
Aug.2001,600.2
Sep.2001,603.4
Oct.2001,602.2
Nov.2001,599.8
Dec.2001,599.3
Jan.2002,601.8
Feb.2002,602.8
Mar.2002,606
Apr.2002,608.5
May.2002,609.8
Jun.2002,608.5
Jul.2002,607.4
Aug.2002,607.4
Sep.2002,609.6
Oct.2002,611.2
Nov.2002,609.3
Dec.2002,609.2
Jan.2003,610
Feb.2003,614
Mar.2003,615.7
Apr.2003,615
May.2003,614.2
Jun.2003,613.5
Jul.2003,610.3
Aug.2003,611.1
Sep.2003,613.6
Oct.2003,613
Nov.2003,612.4
Dec.2003,612.9
Jan.2004,611.2
Feb.2004,614.7
Mar.2004,612.6
Apr.2004,612.7
May.2004,613.6
Jun.2004,613.1
Jul.2004,612.3
Aug.2004,613.8
Sep.2004,616.2
Oct.2004,618.2
Nov.2004,615.5
Dec.2004,615.5
Jan.2005,612.4
Feb.2005,616.1
Mar.2005,618.4
Apr.2005,620
May.2005,618.3
Jun.2005,620
